Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO PINE S.A.;62144175;PINE;50304;80374;b1;2;8;SAO PAULO;SP;06/2020;220.089;102.999;6.336.445;2.341.005;-220.560;2.120.445;0;0;0;0;0;1.905.864;464.725;746.308;11.896.875;0;11.896.875
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;;;80532;b1;3;8;SAO PAULO;SP;06/2020;109.426;2.319.177;1.713.550;1.201.250;-4.055;1.197.195;0;0;0;0;0;6.523.276;13.056;14.456;11.890.137;0;11.890.137
CITIBANK N.A.;33042953;CITIBANK;30403;80192;b1;3;28;SAO PAULO;SP;06/2020;22.966;6.096.998;2.037.968;30.727;-37;30.690;0;0;0;0;0;443.742;3.173.272;28.868;11.834.504;0;11.834.504
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;06/2020;11.626;1.317;6.267.287;0;0;0;50.007;4.049.514;1.281.129;-103.998;5.276.652;1.068.954;9.486;49.840;12.685.162;1.281.129;11.404.033
BANCO CLASSICO S.A.;31597552;;;81665;b1;2;8;RIO DE JANEIRO;RJ;06/2020;367;1.344.849;9.190.792;0;0;0;0;0;0;0;0;137.254;1;341.165;11.014.429;0;11.014.429
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;;;81407;b2;3;8;CURITIBA;PR;06/2020;27.374;832.836;0;9.854.899;-351.602;9.503.297;59;2.240;1.424;-83;3.640;491.537;23.019;9.816;10.891.519;1.424;10.890.095
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;80123;b1;2;8;BELO HORIZONTE;MG;06/2020;1.280.919;1.820.544;1.106.084;4.738.002;-447.982;4.290.020;0;0;0;0;0;1.100.739;273.089;791.124;10.662.520;0;10.662.520
BANCO CSF S.A.;8357240;;;81610;b2;3;8;SAO PAULO;SP;06/2020;4.394;0;298.239;3.695.924;-1.307.599;2.388.325;0;0;0;0;0;6.859.069;65.704;822.102;10.437.833;0;10.437.833
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU;10069;80099;n1;2;14;SAO PAULO;SP;06/2020;43.473;0;19.544;3.020.135;-958.745;2.061.389;0;0;0;0;0;7.914.492;6.006;106.408;10.151.313;0;10.151.313
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;06/2020;100;6.682.375;18.525;0;0;0;0;0;0;0;0;56.717;580;3.275.603;10.033.898;0;10.033.898
BANCO FIBRA S.A.;58616418;;;81483;b1;2;8;SAO PAULO;SP;06/2020;179.635;1.676.810;2.128.691;2.554.619;-67.749;2.486.870;0;0;0;0;0;2.542.660;576.976;135.413;9.727.055;0;9.727.055
BANCO DO ESTADO DO PARÁ S.A.;4913711;;;81586;b1;1;8;BELEM;PA;06/2020;278.646;1.375.061;1.024.617;5.854.348;-134.146;5.720.202;0;0;0;0;0;584.783;448.373;198.149;9.629.829;0;9.629.829
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;;;81184;n1;2;25;BRASILIA;DF;06/2020;14;2.979.675;2.266.337;2.072.601;-130.440;1.942.161;0;0;0;0;0;84.839;2.273.176;20.131;9.566.332;0;9.566.332
BANCO TOYOTA DO BRASIL S.A.;3215790;;;81562;b2;3;8;SAO PAULO;SP;06/2020;13.400;1.259.998;1.019.218;6.195.185;-127.489;6.067.697;-49;43.027;14.214;-302;56.889;471.850;30.733;10.035;8.929.820;14.214;8.915.606
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;;;;b3C;2;9;FLORIANOPOLIS;SC;06/2020;3;6.921.091;1.411.473;58.827;-155;58.672;0;0;0;0;0;34.527;89.538;259.188;8.774.493;0;8.774.493
BANCO JOHN DEERE S.A.;91884981;;;80343;b1;3;8;INDAIATUBA;SP;06/2020;12.753;691.087;0;8.028.459;-306.137;7.722.322;0;0;0;0;0;192.003;28.775;9.167;8.656.107;0;8.656.107
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;80185;n1;3;19;SAO PAULO;SP;06/2020;14.447;1.456.849;1.636.838;0;0;0;1.860;3.380.771;1.316.831;-24.797;4.674.665;1.685.959;3.387;313.232;9.785.377;1.316.831;8.468.545
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;;;;b3C;2;9;BELO HORIZONTE;MG;06/2020;31;6.146.129;1.625.836;113.482;-724;112.758;0;0;0;0;0;37.406;49.796;415.438;8.387.394;0;8.387.394
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;;;81720;b1;3;8;SAO PAULO;SP;06/2020;502.486;2.149.507;1.923.767;1.285.711;-1.327;1.284.384;0;0;0;0;0;1.811.557;440.930;58.745;8.171.375;0;8.171.375
